AGNO;RBD;DGV_RBD;NOM_RBD;MRUN;RUT_SOSTENEDOR;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2019;17703;2;COLEGIO ESPIRITU SANTO; ;65077368;1;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0;-36,747140690000;-73,103296560000;1;10;110;310;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;$50.001 A $100.000
2019;17704;0;ESCUELA AMANDA LABARCA; ;69170300;1;8;BBIO;83;8304;LAJA;82;BIOBÍO;2;1;0;-37,279938000000;-72,716980000000;0;212;0;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17705;9;COLEGIO SANTA CECILIA; ; ;9;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17706;7;GIMNASIO NUESTRA SRA DE LA MERCED; ; ;9;16;NUBLE;163;16301;SAN CARLOS;81;ÑUBLE;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17707;5;ANEXO LICEO C-3; ; ;9;16;NUBLE;162;16203;COELEMU;81;ÑUBLE;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17708;3;COLEGIO SAN CRISTOBAL; ;65154202;1;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0;-36,746858150000;-73,095518950000;1;10;110;310;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17709;1;ESCUELA BALMACEDA SAAVEDRA L.; ;69264700;1;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;2;1;0;-36,955601850000;-73,017727320000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;7;LAICA;GRATUITO;GRATUITO
2019;17710;5;ESCUELA BASICA EL MIRADOR; ;69150100;1;8;BBIO;81;8111;TOMÉ;83;CONCEPCIÓN;2;1;1;-36,608974160000;-72,929915240000;1;110;0;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17711;3;ESCUELA BASICA EL ESPINO; ;69150100;1;8;BBIO;81;8111;TOMÉ;83;CONCEPCIÓN;2;1;1;-36,681367860000;-72,862877960000;1;110;0;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17715;6;ESCUELA ACUMAR; ;65145063;1;8;BBIO;83;8305;MULCHÉN;82;BIOBÍO;3;2;1;-37,756873950000;-72,200823290000;1;110;0;0;0;0;0;0;0;0;0;0;1;1;7;CRISTIANA;GRATUITO;GRATUITO
