ïagno;rbd;dgv_rbd;nom_rbd;mrun;rut_sostenedor;p_juridica;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2016;20070;0;ESCUELA PART. DE ADULTOS GETSEMANI; ;65115709;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.744102;-72.578514;0;165;363;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;GRATUITO
2016;20071;9;ESCUELA PARTICULAR LA DEHESA; ;77415870;1;9;91;9103;CUNCO;92;CAUTIN NORTE;3;2;0;-38.944992;-72.038506;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20072;7;LICEO VESPERTINO DE ADULTOS CALAFQUEN;20901913; ;0;9;91;9120;VILLARRICA;93;CAUTIN SUR;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20073;5;CENTRO EDUC.INTEGRAL ADULTOS ACROPOLIS; ;65120157;1;9;91;9103;CUNCO;92;CAUTIN NORTE;3;2;0;-38.944077;-72.025681;1;165;363;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20074;3;CAMBRIDGE COLLEGE PRIMAVERA; ;76034736;1;9;91;9119;VILCUN;92;CAUTIN NORTE;3;2;0;-38.688305;-72.368294;1;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;$10.001 A $25.000
2016;20075;1;ESCUELA MIRTHA AVILA VALDES; ;76202063;1;9;91;9102;CARAHUE;92;CAUTIN NORTE;3;2;1;-38.660748;-73.182137;0;110;0;0;0;0;0;0;0;0;1;2;2; ;GRATUITO;GRATUITO
2016;20077;8;JARDIN INFANTIL ECOMUNDO CULTURAL;13606063; ;0;9;91;9120;VILLARRICA;93;CAUTIN SUR;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20078;6;CENTRO EDUC.INTEGRAL ADULTOS FUTURO; ;77121230;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.737156;-72.593742;0;165;363;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20079;4;COLEGIO NUEVOS HORIZONTES; ;75816700;1;9;91;9103;CUNCO;92;CAUTIN NORTE;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20080;8;ESCUELA PARTICULAR JUVENCIO VALLE; ;65119394;1;9;91;9117;TEODORO SCHMIDT;93;CAUTIN SUR;3;2;1;-38.941277;-73.057098;0;10;110;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;GRATUITO
