ïagno;rbd;dgv_rbd;nom_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2015;31129;4;ESCUELA ESPECIAL DE LENGUAJE SANTA DOMINGA;8;81;8102;CORONEL;83;CONCEPCION;3;2;0;0;0;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;20025;5;ESCUELA ARTISTICA ARMANDO DUFEY BLANC;9;91;9101;TEMUCO;92;CAUTIN NORTE;2;1;0;-38.742386;-72.622902;0;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;1488;5;ESCUELA MONTEVIDEO;5;58;5803;OLMUE;51;QUILLOTA;2;1;0;-32.991795;-71.161789;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;4948;4;LICEO POLITECNICO ROSAURO SANTANA RIOS;8;81;8106;LOTA;83;CONCEPCION;2;1;0;-37.0952;-73.152512;1;510;610;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;8639;8;LICEO Y COLEGIO NUEVO HISPANO CHILENO;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;3;2;0;-33.440666;-70.670982;0;110;310;0;0;0;0;0;0;0;1;1;2; ;$1.000 A $10.000;$50.001 A $100.000
2015;12573;3;COLEGIO MARIA REINA;1;11;1101;IQUIQUE;11;IQUIQUE;3;2;0;-20.249067;-70.137039;0;110;310;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;$25.001 A $50.000
2015;2439;2;ESCUELA MUNICIPAL DE PALMERIA;6;61;6107;LAS CABRAS;61;CACHAPOAL;2;1;1;-34.200577;-71.209991;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;2860;6;ESCUELA EL CERRILLO;7;73;7304;MOLINA;71;CURICO;2;1;1;-35.127155;-71.316917;1;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;1554;7;COLEGIO PABLO NERUDA;5;51;5101;VALPARAISO;53;VALPARAISO;1;1;0;-33.05405;-71.622612;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;26120;3;ESCUELA BAS. NEWTON SCHOOL;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;-33.483757;-70.609673;0;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;$25.001 A $50.000
2015;10487;6;COLEGIO POLIVALENTE DOMINGO MATTE MESIAS;13;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;-33.608849;-70.579498;0;110;310;510;610;0;0;0;0;0;1;1;2; ;GRATUITO;$10.001 A $25.000
2015;2942;4;ESCUELA JUAN LUIS SANFUENTES;7;71;7101;TALCA;72;TALCA;2;1;0;-35.4203;-71.658318;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;13592;5;LICEO TECNICO PROF. ADULTOS CORESOL DE LA SER;4;41;4101;LA SERENA;41;ELQUI;3;2;1;-29.979139;-71.215797;0;165;363;563;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;12260;2;LICEO PART.OB.AUGUSTO SALINAS FUENZALIDA;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;3;2;0;-33.450954;-70.631477;1;310;0;0;0;0;0;0;0;0;1;1;2; ;$1.000 A $10.000;$25.001 A $50.000
2015;9509;5;COLEGIO SUBERCASEAUX COLLEGE;13;131;13130;SAN MIGUEL;131;SANTIAGO CENTRO;4;3;0;-33.480183;-70.655159;0;10;110;310;0;0;0;0;0;0;1;1;1; ;MÃS DE $100.000;MÃS DE $100.000
2015;26134;3;COLEGIO QUIMAY;13;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0;-33.426022;-70.572899;0;110;310;0;0;0;0;0;0;0;1;1;7;ORIENTACION  VALORICA;MÃS DE $100.000;MÃS DE $100.000
