RBD,acciones,estim_total,estim_sep,pct_completas,avance_min,avance_max,porc_ben,montos_extremos,faltantes_sep,duplicados,nombre_pme,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01,_merge,estim_por_alumno,elegible
79,8,2574647,2574647.0,0.0,65.625,89.625,16.7,0,0,0,ESCUELA EL MARQUEZ,ESCUELA EL MARQUEZ,PUTRE,6,1,1,6,110,both,429107.8333333333,True
81,8,1100000,900000.0,0.5,84.375,96.375,100.0,0,0,0,ESCUELA PAYACHATAS,ESCUELA PAYACHATAS,PUTRE,6,1,1,2,110,both,550000.0,True
82,8,1048555,1048555.0,0.5,78.125,90.125,0.0,0,0,0,ESCUELA SAN FRANCISCO DE ASIS,ESCUELA SAN FRANCISCO DE ASIS,PUTRE,6,1,1,3,110,both,349518.3333333333,True
84,9,2935562,2935562.0,0.7777777777777778,80.66666666666667,85.88888888888889,100.0,0,0,0,ESCUELA LOS ALAMOS,ESCUELA LOS ALAMOS,PUTRE,6,1,1,3,110,both,978520.6666666666,True
86,8,5139329,5139329.0,0.625,90.625,99.625,100.0,0,0,0,ESCUELA SAN SANTIAGO DE BELEN,ESCUELA SAN SANTIAGO DE BELEN,PUTRE,6,1,1,4,110,both,1284832.25,True
87,9,2694470,2694470.0,0.7777777777777778,91.66666666666667,97.0,100.0,0,0,0,ESCUELA ANCOLACANE,ESCUELA ANCOLACANE,GENERAL LAGOS,6,1,1,4,110,both,673617.5,True
89,8,3801691,3801691.0,0.25,71.875,89.875,100.0,0,0,0,ESCUELA HUMAPALCA,ESCUELA HUMAPALCA,GENERAL LAGOS,6,1,1,4,110,both,950422.75,True
90,8,26674627,26674627.0,0.125,78.125,99.125,58.3,0,0,0,ESCUELA INTERNADO VISVIRI,ESCUELA INTERNADO VISVIRI,GENERAL LAGOS,6,1,1,48,110,both,555721.3958333334,True
91,8,5341839,5341839.0,0.5,84.375,96.375,100.0,0,0,0,ESCUELA COSAPILLA,ESCUELA COSAPILLA,GENERAL LAGOS,6,1,1,4,110,both,1335459.75,True
92,8,0,0.0,0.25,68.75,86.75,0.0,0,0,0,ESCUELA CHISLLUMA,ESCUELA CHISLLUMA,GENERAL LAGOS,6,1,1,4,110,both,0.0,True
93,8,1000944,1000944.0,0.375,75.0,90.0,60.0,0,0,0,ESCUELA CHUJLLUTA,ESCUELA CHUJLLUTA,GENERAL LAGOS,6,1,1,5,110,both,200188.8,True
94,8,3119184,3119184.0,0.25,75.0,93.0,100.0,0,0,0,ESCUELA GUACOYO,ESCUELA GUACOYO,GENERAL LAGOS,6,1,1,7,110,both,445597.71428571426,True
95,9,831509,831509.0,0.0,61.111111111111114,85.11111111111111,100.0,0,0,0,ESCUELA COLPITAS,ESCUELA COLPITAS,GENERAL LAGOS,6,1,1,1,110,both,831509.0,True
97,8,69000000,69000000.0,0.375,84.375,99.375,62.8,0,0,0,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,6,0,1,608,410,both,113486.84210526316,True
102,10,0,0.0,0.8,95.0,99.8,0.0,0,0,0,ESC.EDUC.ESPECIAL FLOR DEL INCA,ESC.EDUC.ESPECIAL FLOR DEL INCA,IQUIQUE,6,0,1,181,212,both,0.0,True
103,15,48500000,48500000.0,0.7333333333333333,76.66666666666667,79.86666666666666,80.8,0,0,0,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,IQUIQUE,6,0,1,490,110,both,98979.59183673469,True
105,9,0,0.0,0.3333333333333333,58.333333333333336,74.33333333333333,0.0,0,0,0,CENTRO DE CAPACITACION LABORAL,CENTRO DE CAPACITACION LABORAL,IQUIQUE,6,0,1,68,212,both,0.0,True
108,25,119000000,101000000.0,0.8,85.0,87.88,71.3,0,0,0,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,IQUIQUE,6,0,1,722,510,both,164819.94459833796,True
109,16,175000000,170000000.0,0.4375,68.875,80.75,60.1,0,0,0,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,IQUIQUE,6,0,1,923,110,both,189599.1332611051,True
110,20,250000000,243000000.0,0.0,32.7,55.3,78.4,0,0,0,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,IQUIQUE,6,0,1,936,10,both,267094.0170940171,True
111,27,435000000,435000000.0,0.0,75.0,99.0,81.7,0,0,0,ESCUELA GABRIELA MISTRAL,ESCUELA GABRIELA MISTRAL,IQUIQUE,6,0,1,662,10,both,657099.6978851964,True
112,12,263000000,163000000.0,1.0,100.0,100.0,79.6,0,0,0,ESCUELA EDUARDO LLANOS,ESCUELA EDUARDO LLANOS,IQUIQUE,6,0,1,668,10,both,393712.5748502994,True
113,20,73400000,73400000.0,0.75,88.8,94.75,68.4,0,0,0,ESCUELA ALMIRANTE PATRICIO LYNCH,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,6,0,1,927,10,both,79180.15102481122,True
114,10,120500000,120500000.0,0.7,92.5,99.7,67.2,0,0,0,ESCUELA PLACIDO VILLARROEL,ESCUELA PLACIDO VILLARROEL,IQUIQUE,6,0,1,503,10,both,239562.62425447316,True
116,12,121500000,121500000.0,0.5,77.08333333333333,87.08333333333333,64.2,0,0,0,COLEGIO REPUBLICA DE CROACIA,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,6,0,1,689,10,both,176342.52539912917,True
117,25,385200000,385200000.0,0.84,89.04,91.88,63.5,0,0,0,ESCUELA PAULA JARAQUEMADA ALQUIZAR,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,6,0,1,674,10,both,571513.353115727,True
123,19,101500000,97500000.0,0.0,72.36842105263158,96.36842105263158,68.6,0,0,0,COLEGIO ESPANA,COLEGIO ESPANA,IQUIQUE,6,0,1,554,10,both,183212.9963898917,True
124,20,481169779,481169779.0,0.0,48.9,72.75,85.4,0,0,0,LICEO LUIS CRUZ MARTINEZ,LICEO LUIS CRUZ MARTINEZ,IQUIQUE,6,0,1,1170,310,both,411256.2213675214,True
125,19,87500000,87500000.0,1.0,100.0,100.0,75.3,0,0,0,ESCUELA PROFESOR MANUEL CASTRO RAMOS,ESCUELA PROFESOR MANUEL CASTRO RAMOS,IQUIQUE,6,0,1,1090,10,both,80275.22935779816,True
126,12,120000000,120000000.0,0.0,72.91666666666667,96.91666666666667,80.8,0,0,0,COLEGIO REPUBLICA DE ITALIA,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,6,0,1,661,10,both,181543.1164901664,True
127,18,250000000,250000000.0,1.0,100.0,100.0,40.6,0,0,0,LICEO MARIA AUXILIADORA,LICEO MARIA AUXILIADORA,IQUIQUE,3,0,1,879,110,both,284414.1069397042,True
129,9,0,0.0,0.2222222222222222,75.0,93.66666666666667,0.0,0,0,0,LICEO SUPERIOR GABRIELA MISTRAL,LICEO SUPERIOR GABRIELA MISTRAL,IQUIQUE,3,0,1,320,10,both,0.0,True
131,8,86000000,86000000.0,1.0,100.0,100.0,72.5,0,0,0,COLEGIO ESCASCE,COLEGIO ESCASCE,IQUIQUE,3,0,1,397,110,both,216624.68513853903,True
133,16,180500000,108500000.0,0.0,50.0,74.0,82.9,0,0,0,COLEGIO ADVENTISTA DE IQUIQUE,COLEGIO ADVENTISTA DE IQUIQUE,IQUIQUE,3,0,1,742,10,both,243261.45552560646,True
