numero_anexo,dependencia_original,decreto,fecha_decreto,factura,fecha_factura,tipo,comodato,modelo_original,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd
68,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,16,sin_comodato_33_3_16,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
69,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,17,sin_comodato_33_3_17,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
70,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,18,sin_comodato_33_3_18,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
71,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,19,sin_comodato_33_3_19,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
72,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,20,sin_comodato_33_3_20,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
73,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,21,sin_comodato_33_3_21,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
74,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,22,sin_comodato_33_3_22,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
75,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,23,sin_comodato_33_3_23,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
76,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,24,sin_comodato_33_3_24,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
77,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,25,sin_comodato_33_3_25,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
